Rest_name,Rest_ratings,Rest_noreviews,Rest_price,Rest_cuisine,Rest_add,Rest_tel,Rest_nbh,Rating,Price,Cuisine,Street_add,neighbourhood_,neighbourhood,neighbourhood_good
Fishman Lobster Clubhouse Restaurant,4 star rating,912,$$$,Chinese,4020 Finch Avenue E,(647) 849-3885,Milliken,4.0,3,Asian,Finch Avenue E,,Milliken,Milliken
Mr. K,3.5 star rating,6,None,Chicken Shop,5427 Yonge Street,(416) 512-1111,Willowdale,3.5,0,American,Yonge Street,,Willowdale,Willowdale
Dee,4 star rating,29,None,Thai,2013 Yonge Street,(647) 454-4629,Mount Pleasant and Davisville,4.0,0,Asian,Yonge Street,,Mount Pleasant and Davisville,Mount Pleasant and Davisville
Le Baratin,4.5 star rating,96,$$,French,1600 Dundas Street. W,(416) 534-8800,Brockton Village,4.5,2,European,Dundas Street. W,,Brockton Village,Brockton Village
Enoteca Sociale,4 star rating,302,$$$,Italian,1288 Dundas St W,(416) 534-1200,Little Portugal,4.0,3,European,Dundas St W,,Little Portugal,Little Portugal
Hancook Cheese Dakgalbi,4 star rating,71,$$,Korean,605 Bloor Street W,(416) 516-1222,Koreatown,4.0,2,Asian,Bloor Street W,,Koreatown,Koreatown
La Cubana,4.5 star rating,43,$$,Cuban,1030 Gerrard St E,(647) 350-5355,Leslieville,4.5,2,South American,Gerrard St E,,Leslieville,Leslieville
Kiin,4 star rating,194,$$$,Thai,326 Adelaide Street W,(647) 490-5040,Entertainment District,4.0,3,Asian,Adelaide Street W,Financial District,Entertainment District,Entertainment District
Bar Sybanne,4.5 star rating,82,$$$,Mediterranean,229 Ossington Avenue,(647) 350-9229,Ossington Strip,4.5,3,Middle Eastern,Ossington Avenue,,Ossington Strip,Ossington Strip
Terroni,3.5 star rating,661,$$,Italian,57A Adelaide Street E,(416) 203-3093,Downtown Core,3.5,2,European,Adelaide Street E,,Downtown Core,Downtown Core
Alma,3.5 star rating,14,None,Canadian (New),1194 Bloor Street W,(647) 346-1881,Bloordale Village,3.5,0,American,Bloor Street W,,Bloordale Village,Bloordale Village
Farm’r Eatery & Catering,4.5 star rating,98,$$,Canadian (New),140 The Esplanade,(416) 901-8676,St. Lawrence,4.5,2,American,The Esplanade,,St. Lawrence,St. Lawrence
Kay Pacha,4 star rating,46,$$$,Peruvian,744 St Clair Avenue W,(416) 658-0568,,4.0,3,European,St Clair Avenue W,Corso Italia,1,Corso Italia
Plan B,5 star rating,20,None,South African,2943A Bloor Street W,(416) 231-4444,Etobicoke,5.0,0,African,Bloor Street W,,Etobicoke,Etobicoke
Papyrus,4.5 star rating,22,$$,Egyptian,337 Danforth Avenue,(647) 352-3878,Riverdale,4.5,2,African,Danforth Avenue,,Riverdale,Riverdale
Ruby Watchco,4 star rating,249,$$$,Canadian (New),730 Queen Street E,(416) 465-0100,Riverdale,4.0,3,American,Queen Street E,,Riverdale,Riverdale
Loose Moose,3.5 star rating,410,$$,Sports Bars,146 Front Street West,(416) 977-8840,Downtown Core,3.5,2,American,Front Street West,,Downtown Core,Downtown Core
A La Turk,4.5 star rating,40,None,Turkish,3443 Yonge Street,(416) 770-1122,,4.5,0,Middle Eastern,Yonge Street,,1,
Otto’s Berlin Döner,4 star rating,254,$$,German,256 Augusta Avenue,(647) 347-7713,Kensington Market,4.0,2,European,Augusta Avenue,,Kensington Market,Kensington Market
Panera Bread,3 star rating,82,$$,American (Traditional),3987 Highway 7,+1-905-479-5888,Unionville,3.0,2,American,Highway 7,,Unionville,Unionville
7 Numbers Restaurant,4 star rating,102,$$,Italian,516 Eglinton Avenue W,(416) 322-5183,,4.0,2,European,Eglinton Avenue W,York,1,York
Khau Gully,4 star rating,79,$$,Indian,1991 Yonge Street,1991 Yonge Street,Mount Pleasant and Davisville,4.0,2,Asian,Yonge Street,,Mount Pleasant and Davisville,Mount Pleasant and Davisville
Simone’s Caribbean Restaurant,4.5 star rating,122,$$,Caribbean,596 Danforth Avenue,(416) 792-5252,Greektown,4.5,2,Carribean,Danforth Avenue,,Greektown,Greektown
Nana,3.5 star rating,187,$$,Thai,785 Queen Street W,(647) 352-5745,Niagara,3.5,2,Asian,Queen Street W,,Niagara,Niagara
Pizzeria Libretto,4 star rating,537,$$,Pizza,221 Ossington Avenue,(416) 532-8000,Ossington Strip,4.0,2,American,Ossington Avenue,,Ossington Strip,Ossington Strip
Hotmess Tex Mex,4 star rating,25,$$,Tex-Mex,615 College Street W,(416) 551-1322,Little Italy,4.0,2,Mexican,College Street W,,Little Italy,Little Italy
416 Snack Bar,4 star rating,320,$$,Tapas/Small Plates,181 Bathurst Street,(416) 364-9320,Alexandra Park,4.0,2,European,Bathurst Street,,Alexandra Park,Alexandra Park
Rasta Pasta,4 star rating,318,$,Caribbean,61 Kensington Avenue,(647) 501-4505,Kensington Market,4.0,1,Carribean,Kensington Avenue,,Kensington Market,Kensington Market
Katsuya,4.5 star rating,361,$$,Japanese,6048 Yonge Street,(647) 729-6161,,4.5,2,Asian,Yonge Street,,1,
Dasoni,4.5 star rating,10,None,Korean,630 St Clair Ave W,(647) 343-2878,,4.5,0,Asian,St Clair Ave W,,1,
Byblos Uptown,4 star rating,46,None,Mediterranean,2537 Yonge St,(416) 487-4897,Yonge and Eglinton,4.0,0,Middle Eastern,Yonge St,,Yonge and Eglinton,Yonge and Eglinton
Mr.Tonkatsu,4 star rating,189,$$,Japanese,520 Bloor Street W,(416) 537-9000,The Annex,4.0,2,Asian,Bloor Street W,,The Annex,The Annex
Yummy Yummy Dumplings,4 star rating,261,$$,Chinese,79 Huron Street,(416) 388-1692,Downtown Core,4.0,2,Asian,Huron Street,,Downtown Core,Downtown Core
Alo Restaurant,4.5 star rating,287,$$$$,Bars,163 Spadina Avenue,(416) 260-2222,Queen Street West,4.5,4,American,Spadina Avenue,,Queen Street West,Queen Street West
Jamie’s Italian,3 star rating,439,$$,Italian,None,(416) 238-7450,,3.0,2,European,,,1,
El Trompo Taco Bar,4 star rating,333,$$,Mexican,277 Augusta Ave,(416) 260-0097,Kensington Market,4.0,2,Mexican,Augusta Ave,,Kensington Market,Kensington Market
Saku Sushi,4 star rating,481,$$,Sushi Bars,478 Queen Street W,(416) 368-7258,Alexandra Park,4.0,2,American,Queen Street W,,Alexandra Park,Alexandra Park
Mengrai Thai,4 star rating,274,$$,Thai,82 Ontario Street,(416) 840-2754,Corktown,4.0,2,Asian,Ontario Street,,Corktown,Corktown
Napoli Centrale,4.5 star rating,59,$$,Italian,964 Bathurst Street,(416) 901-6791,Seaton Village,4.5,2,European,Bathurst Street,,Seaton Village,Seaton Village
Le Plato,4 star rating,6,None,African,785 Danforth Avenue,(416) 465-8893,Greektown,4.0,0,African,Danforth Avenue,,Greektown,Greektown
Guu Izakaya Toronto,4 star rating,126,$$,Japanese,1314 Queen Street W,(647) 351-1314,Parkdale,4.0,2,Asian,Queen Street W,,Parkdale,Parkdale
Nando’s,3.5 star rating,59,$$,South African,741 Queen Street W,(416) 504-3474,Niagara,3.5,2,African,Queen Street W,,Niagara,Niagara
Kingyo Izakaya,4 star rating,329,$$,Japanese,51B Winchester Street,(647) 748-2121,Cabbagetown,4.0,2,Asian,Winchester Street,,Cabbagetown,Cabbagetown
The Burger’s Priest,3.5 star rating,68,$$,Burgers,3280 Dufferin Street,(647) 352-7070,,3.5,2,American,Dufferin Street,Downtown Core,1,Downtown Core
The Caledonian,4.5 star rating,138,$$,Pubs,856 College Street,(416) 577-7472,Dufferin Grove,4.5,2,American,College Street,Downtown,Dufferin Grove,Dufferin Grove
LOV King West,4 star rating,45,None,Vegan,620 King West street,(416) 366-8568,,4.0,0,American,King West street,,1,
Madras Masala,4 star rating,145,$$,Indian,796 Bloor Street W,(647) 342-4359,Christie Pits,4.0,2,Asian,Bloor Street W,,Christie Pits,Christie Pits
Canoe,4 star rating,668,$$$$,Canadian (New),66 Wellington Street  W,(416) 364-0054,Financial District,4.0,4,American,Wellington Street  W,,Financial District,Financial District
Athens Restaurant,4 star rating,82,$$,Greek,707 Danforth Avenue,(416) 465-4441,Greektown,4.0,2,European,Danforth Avenue,,Greektown,Greektown
Lucy Ethiopian Kitchen,4.5 star rating,58,$$,Ethiopian,1690 Danforth Avenue,(416) 406-0534,The Danforth,4.5,2,African,Danforth Avenue,,The Danforth,The Danforth
Panera Bread,3 star rating,82,$$,Sandwiches,3987 Highway 7,+1-905-479-5888,Unionville,3.0,2,American,Highway 7,,Unionville,Unionville
Pizzeria Libretto,4 star rating,537,$$,Pizza,221 Ossington Avenue,(416) 532-8000,Ossington Strip,4.0,2,American,Ossington Avenue,,Ossington Strip,Ossington Strip
LOV King West,4 star rating,45,None,Vegan,620 King West street,(416) 366-8568,,4.0,0,American,King West street,,1,
Nomads Restobar,4.5 star rating,12,None,Gastropubs,701 Queen Street E,(416) 551-1553,Riverdale,4.5,0,American,Queen Street E,,Riverdale,Riverdale
Frankie’s,3.5 star rating,23,None,Italian,892 Queen Street E,892 Queen Street E,Leslieville,3.5,0,European,Queen Street E,,Leslieville,Leslieville
Good Hombres,4.5 star rating,68,None,Mexican,374 Bathurst Street,(416) 862-0425,Little Italy,4.5,0,Mexican,Bathurst Street,,Little Italy,Little Italy
La Chingada,4 star rating,43,None,Mexican,1242 Dundas Street West,(416) 535-2242,Little Portugal,4.0,0,Mexican,Dundas Street West,,Little Portugal,Little Portugal
La Carnita,3.5 star rating,379,$$,Mexican,106 John Street,(647) 348-1166,Entertainment District,3.5,2,Mexican,John Street,,Entertainment District,Entertainment District
416 Snack Bar,4 star rating,320,$$,Tapas/Small Plates,181 Bathurst Street,(416) 364-9320,Alexandra Park,4.0,2,European,Bathurst Street,,Alexandra Park,Alexandra Park
Alo Restaurant,4.5 star rating,287,$$$$,Bars,163 Spadina Avenue,(416) 260-2222,Queen Street West,4.5,4,American,Spadina Avenue,,Queen Street West,Queen Street West
ZIBA Berlin Döner,4 star rating,35,$$,Kebab,1608 Queen Street E,(416) 466-2422,Leslieville,4.0,2,Middle Eastern,Queen Street E,,Leslieville,Leslieville
Beast Restaurant,4 star rating,406,$$,Canadian (New),96 Tecumseth Street,(647) 352-6000,Niagara,4.0,2,American,Tecumseth Street,,Niagara,Niagara
Gordo EX Cafe,4 star rating,37,$$,Venezuelan,1048 Bathurst Street,(416) 894-7905,Seaton Village,4.0,2,South American,Bathurst Street,,Seaton Village,Seaton Village
Yasu,4.5 star rating,357,$$$$,Japanese,81 Harbord Street,(416) 477-2361,,4.5,4,Asian,Harbord Street,Entertainment District,1,Entertainment District
Jatujak,4 star rating,350,$$,Food Delivery Services,1744 Victoria Park Avenue,(647) 352-1744,,4.0,2,Other,Victoria Park Avenue,Scarborough,1,Scarborough
Demen Bistro,4.5 star rating,41,$$,Vietnamese,500 Queen Street W,(416) 364-2888,Alexandra Park,4.5,2,Asian,Queen Street W,,Alexandra Park,Alexandra Park
Ha Gow Dim Sum House,4 star rating,101,$,Dim Sum,988 Danforth Avenue,(416) 461-8294,The Danforth,4.0,1,Asian,Danforth Avenue,,The Danforth,The Danforth
Thindi,5 star rating,11,None,Indian,335 Yonge Street,(416) 931-6016,Ryerson,5.0,0,Asian,Yonge Street,,Ryerson,Ryerson
Jamie’s Italian,3 star rating,439,$$,Italian,None,(416) 238-7450,,3.0,2,European,,,1,
Guu Izakaya Toronto,4 star rating,126,$$,Japanese,1314 Queen Street W,(647) 351-1314,Parkdale,4.0,2,Asian,Queen Street W,,Parkdale,Parkdale
CANO Restaurant,4.5 star rating,38,$$,Italian,1108 St Clair Avenue W,(416) 901-3655,,4.5,2,European,St Clair Avenue W,Corso Italia,1,Corso Italia
Honest Weight,4.5 star rating,123,$$,Seafood,2766 Dundas Street W,(416) 604-9992,The Junction,4.5,2,American,Dundas Street W,,The Junction,The Junction
Kaiseki Yu-zen Hashimoto,4.5 star rating,23,$$$$,Japanese,6 Garamond Court,(416) 444-7100,,4.5,4,Asian,Garamond Court,,1,
Rickshaw Bar,4 star rating,105,$$,Tapas/Small Plates,685 Queen Street W,(647) 352-1227,Niagara,4.0,2,European,Queen Street W,,Niagara,Niagara
VOS Restaurante Argentino,4.5 star rating,24,None,Argentine,847 College Street,(416) 530-0847,Dufferin Grove,4.5,0,South American,College Street,Downtown,Dufferin Grove,Dufferin Grove
32 Chicken St.,4.5 star rating,25,$$,Korean,409 College Street,(647) 748-0032,Kensington Market,4.5,2,Asian,College Street,Downtown,Kensington Market,Kensington Market
Zaad,4 star rating,36,$$,Middle Eastern,348 Bloor Street West,(647) 347-9223,The Annex,4.0,2,Middle Eastern,Bloor Street West,,The Annex,The Annex
The Annex Food Hall,4 star rating,40,$$,Food Court,384 Bloor Street W,(647) 979-0384,The Annex,4.0,2,American,Bloor Street W,,The Annex,The Annex
The Daily Dumpling Wonton Co,4 star rating,30,None,Chinese,792 College St,(416) 519-5008,Bickford Park,4.0,0,Asian,College St,Downtown Core,Bickford Park,Bickford Park
Aztec’s Mine,4 star rating,88,$$,Mexican,1986 Bloor Street W,(647) 347-1977,High Park,4.0,2,Mexican,Bloor Street W,,High Park,High Park
Oyster Boy,4 star rating,179,$$$,Seafood,872 Queen Street W,(416) 534-3432,West Queen West,4.0,3,American,Queen Street W,,West Queen West,West Queen West
Panera Bread,3 star rating,82,$$,American (Traditional),3987 Highway 7,+1-905-479-5888,Unionville,3.0,2,American,Highway 7,,Unionville,Unionville
Super Point,3.5 star rating,92,$$,Bars,184 Ossington Avenue,(416) 519-6996,Ossington Strip,3.5,2,American,Ossington Avenue,,Ossington Strip,Ossington Strip
Uncle Mikey’s,4.5 star rating,42,$$,Korean,1597 Dundas Street W,(416) 537-8973,Brockton Village,4.5,2,Asian,Dundas Street W,,Brockton Village,Brockton Village
Canoe,4 star rating,668,$$$$,Canadian (New),66 Wellington Street  W,(416) 364-0054,Financial District,4.0,4,American,Wellington Street  W,,Financial District,Financial District
Hotopia Downtown,3.5 star rating,21,None,Chinese,45 Carlton Street,(416) 977-8668,Church-Wellesley Village,3.5,0,Asian,Carlton Street,Cabbage Town,Church-Wellesley Village,Church-Wellesley Village
Beiteddine Lebanese Restaurant,4 star rating,17,None,Lebanese,513 Danforth Avenue,513 Danforth Avenue,Greektown,4.0,0,Middle Eastern,Danforth Avenue,,Greektown,Greektown
Mymy Chicken,4 star rating,209,$$,Chicken Wings,9 Spring Garden Avenue,(416) 227-7772,Willowdale,4.0,2,American,Spring Garden Avenue,,Willowdale,Willowdale
Gyukatsu Kyoto Katsugyu,3.5 star rating,83,$$,Japanese,134 Dundas Street E,(416) 203-8778,Ryerson,3.5,2,Asian,Dundas Street E,,Ryerson,Ryerson
DeSotos Eatery,4 star rating,68,$$,Gastropubs,1079 St Clair Avenue West,(416) 651-2109,,4.0,2,American,St Clair Avenue West,Corso Italia,1,Corso Italia
Sash,4.5 star rating,8,None,Canadian (New),1133 Yonge Street,(416) 921-7274,Summer Hill,4.5,0,American,Yonge Street,,Summer Hill,Summer Hill
Saigon Lotus,4.5 star rating,178,$$,Vietnamese,6 St Andrew Street,(416) 901-1115,Chinatown,4.5,2,Asian,St Andrew Street,,Chinatown,Chinatown
Dandylion Restaurant,4 star rating,81,$$$,Canadian (New),1198 Queen Street W,(647) 464-9100,Beaconsfield Village,4.0,3,American,Queen Street W,,Beaconsfield Village,Beaconsfield Village
Grazie Ristorante,4 star rating,416,$$,Italian,2373 Yonge Street,(416) 488-0822,Yonge and Eglinton,4.0,2,European,Yonge Street,,Yonge and Eglinton,Yonge and Eglinton
Planta Yorkville,4 star rating,426,$$,Tapas/Small Plates,1221 Bay Street,(647) 348-7000,Yorkville,4.0,2,European,Bay Street,,Yorkville,Yorkville
Mykonos Mediterranean Grill,4 star rating,88,$$,Greek,881 Yonge Street,(416) 963-8444,,4.0,2,European,Yonge Street,,1,
Daddyo’s Pasta & Salads,4 star rating,96,$$,Italian,673 Spadina Avenue,(416) 598-5522,University of Toronto,4.0,2,European,Spadina Avenue,,University of Toronto,University of Toronto
La Carnita,3.5 star rating,488,$$,Mexican,501 College Street,(416) 964-1555,Little Italy,3.5,2,Mexican,College Street,Downtown,Little Italy,Little Italy
Campo,4 star rating,48,$$,Spanish,244 Jane Street,(647) 849-3633,,4.0,2,European,Jane Street,North York,1,North York
Nobuya,4 star rating,190,$$,Japanese,285 Royal York Road,(416) 201-9491,Etobicoke,4.0,2,Asian,Royal York Road,,Etobicoke,Etobicoke
Epicure City BOM,4 star rating,153,$$,Korean,72 Gerrard Street W,(416) 971-5882,Downtown Core,4.0,2,Asian,Gerrard Street W,,Downtown Core,Downtown Core
Los Arrieros,4 star rating,31,$$,Colombian,276 Jane Street,(416) 761-1600,,4.0,2,South American,Jane Street,North York,1,North York
Sabor Brasil,4 star rating,18,$$,Brazilian,1702 St Clair Avenue W,(647) 340-4036,,4.0,2,South American,St Clair Avenue W,Corso Italia,1,Corso Italia
King’s Tacos,4 star rating,62,$$,Mexican,1190 St Clair Avenue W,(647) 342-0262,Corso Italia,4.0,2,Mexican,St Clair Avenue W,Corso Italia,Corso Italia,Corso Italia
Giulietta,4 star rating,83,$$$,Italian,972 College Street W,(416) 964-0606,Dufferin Grove,4.0,3,European,College Street W,,Dufferin Grove,Dufferin Grove
Knuckle Sandwich,4 star rating,102,$$,Poutineries,969 Coxwell Avenue,(647) 748-7999,East York,4.0,2,American,Coxwell Avenue,,East York,East York
Jules Bistro,4 star rating,19,None,Bistros,1290 Queen St E,(416) 463-5853,Leslieville,4.0,0,American,Queen St E,,Leslieville,Leslieville
The Real Jerk,3.5 star rating,159,$$,Caribbean,842 Gerrard Street E,(416) 463-6055,Riverdale,3.5,2,Carribean,Gerrard Street E,,Riverdale,Riverdale
St. Matthew’s BBQ Chicken,4.5 star rating,23,$$,Portuguese,527 Rogers Rd,(416) 658-4126,,4.5,2,European,Rogers Rd,,1,
Chadwick’s,4 star rating,196,$$,Canadian (New),268 Howland Avenue,(416) 944-1606,The Annex,4.0,2,American,Howland Avenue,,The Annex,The Annex
Camel Restaurant,5 star rating,2,None,Middle Eastern,675 danforth ave,(416) 778-8999,Greektown,5.0,0,Middle Eastern,danforth ave,,Greektown,Greektown
Stelvio,4 star rating,112,$$,Italian,791 Dundas Street W,791 Dundas Street W,Trinity Bellwoods,4.0,2,European,Dundas Street W,,Trinity Bellwoods,Trinity Bellwoods
Panera Bread,3 star rating,82,$$,Salad,3987 Highway 7,+1-905-479-5888,Unionville,3.0,2,American,Highway 7,,Unionville,Unionville
Bar Fancy,4 star rating,118,$$,Chicken Shop,1070 Queen Street W,(416) 546-1416,Beaconsfield Village,4.0,2,American,Queen Street W,,Beaconsfield Village,Beaconsfield Village
Piano Piano,3.5 star rating,246,$$$,Italian,88 Harbord Street,(416) 929-7788,,3.5,3,European,Harbord Street,Entertainment District,1,Entertainment District
Chung Chun Rice Hotdog,4 star rating,52,None,Hot Dogs,11 Byng Avenue,11 Byng Avenue,Willowdale,4.0,0,American,Byng Avenue,,Willowdale,Willowdale
Greenwood Smokehouse BBQ,3.5 star rating,143,$$,Barbeque,673 Danforth Avenue,(416) 469-2270,Greektown,3.5,2,American,Danforth Avenue,,Greektown,Greektown
Conspiracy Pizza,4 star rating,43,$$,Pizza,176 Wicksteed Avenue,(647) 694-3327,,4.0,2,American,Wicksteed Avenue,,1,
Wow Sushi,4 star rating,410,$$,Sushi Bars,11 Charles Street,(416) 923-1888,Downtown Core,4.0,2,American,Charles Street,,Downtown Core,Downtown Core
Bloom Restaurant,4.5 star rating,62,$$$,Latin American,2315 Bloor Street W,(416) 767-1315,Swansea,4.5,3,American,Bloor Street W,,Swansea,Swansea
Local 1794,4 star rating,106,$$,Canadian (New),1794 Danforth Avenue,(416) 463-1794,The Danforth,4.0,2,American,Danforth Avenue,,The Danforth,The Danforth
Loga’s Corner,4.5 star rating,125,$,Himalayan/Nepalese,216C Close Avenue,(647) 761-0965,Parkdale,4.5,1,Asian,Close Avenue,,Parkdale,Parkdale
Scaramouche Restaurant Pasta Bar & Grill,4.5 star rating,288,$$$$,French,1 Benvenuto Place,(416) 961-8011,South Hill,4.5,4,European,Benvenuto Place,,South Hill,South Hill
Country Style Hungarian Restaurant,3.5 star rating,115,$$,Hungarian,450 Bloor Street W,(416) 536-5966,The Annex,3.5,2,European,Bloor Street W,,The Annex,The Annex
Sakawa Coffee & Japanese Restaurant,4.5 star rating,104,$$,Japanese,867 Danforth Ave,867 Danforth Ave,Greektown,4.5,2,Asian,Danforth Ave,,Greektown,Greektown
Double D’s,3 star rating,95,$$,Pizza,1020 Gerrard Street E,(416) 727-5411,Leslieville,3.0,2,American,Gerrard Street E,,Leslieville,Leslieville
Luna Junction,4.5 star rating,18,None,Portuguese,2800 Dundas St W,(416) 762-4116,The Junction,4.5,0,European,Dundas St W,,The Junction,The Junction
Figs and Olives Kitchen,4.5 star rating,56,$$,Mediterranean,24 Wellesley Street W,(416) 546-2873,Downtown Core,4.5,2,Middle Eastern,Wellesley Street W,,Downtown Core,Downtown Core
Lake Inez,4.5 star rating,87,$$$,Bars,1471 Gerrard Street E,(416) 792-1590,Leslieville,4.5,3,American,Gerrard Street E,,Leslieville,Leslieville
Cafe Oro Di Napoli,4.5 star rating,37,$$,Pizza,75 Jarvis Street,(416) 315-7979,Corktown,4.5,2,American,Jarvis Street,Entertainment District,Corktown,Corktown
The SOS,4 star rating,44,$$,Canadian (New),118 John Street,118 John Street,Entertainment District,4.0,2,American,John Street,,Entertainment District,Entertainment District
Kintako Japanese Restaurant,4 star rating,150,$$,Japanese,214 Laird Drive,(416) 800-6074,,4.0,2,Asian,Laird Drive,,1,
La Palma,3.5 star rating,166,$$$,Italian,849 Dundas Street W,(416) 368-4567,Trinity Bellwoods,3.5,3,European,Dundas Street W,,Trinity Bellwoods,Trinity Bellwoods
Rodney’s Oyster House,4 star rating,374,$$$,Seafood,469 King Street W,(416) 363-8105,,4.0,3,American,King Street W,Entertainment District,1,Entertainment District
Hokkaido Ramen Santouka,4 star rating,847,$$,Ramen,91 Dundas Street E,(647) 748-1717,Ryerson,4.0,2,Asian,Dundas Street E,,Ryerson,Ryerson
Yukashi Japanese Cuisine,4.5 star rating,26,$$$$,Japanese,643A Mount Pleasant Road,(416) 489-6993,Mount Pleasant and Davisville,4.5,4,Asian,Mount Pleasant Road,,Mount Pleasant and Davisville,Mount Pleasant and Davisville
Sheherzade Persian Grill And Dizi,4 star rating,99,$$,Persian/Iranian,422 College St W,(416) 929-9222,,4.0,2,Middle Eastern,College St W,,1,
The Burger’s Priest,4 star rating,373,$$,Burgers,463 Queen Street W,(647) 748-8108,Queen Street West,4.0,2,American,Queen Street W,,Queen Street West,Queen Street West
Museum Tavern,3.5 star rating,220,$$,American (Traditional),208 Bloor Street W,(416) 920-0110,The Annex,3.5,2,American,Bloor Street W,,The Annex,The Annex
Nando’s Flame Grilled Chicken,3.5 star rating,209,$$,Portuguese,832 Bay Street,(416) 925-8888,Discovery District,3.5,2,European,Bay Street,,Discovery District,Discovery District
Good Fork,4 star rating,334,$$,Canadian (New),1550 Dundas St W,(647) 352-5955,Brockton Village,4.0,2,American,Dundas St W,,Brockton Village,Brockton Village
Cluck Clucks,4 star rating,262,$$,Chicken Shop,222 The Esplanade,(647) 748-2582,St. Lawrence,4.0,2,American,The Esplanade,,St. Lawrence,St. Lawrence
Smith Bros.,4 star rating,344,$$,Steakhouses,880 Warden Avenue,(416) 751-3100,Scarborough,4.0,2,American,Warden Avenue,,Scarborough,Scarborough
Panera Bread,3 star rating,82,$$,Salad,3987 Highway 7,+1-905-479-5888,Unionville,3.0,2,American,Highway 7,,Unionville,Unionville
PG Clucks,4.5 star rating,154,$,Sandwiches,610 College Street,(416) 539-8224,Bickford Park,4.5,1,American,College Street,Downtown,Bickford Park,Bickford Park
Bellwoods Brewery,4 star rating,335,$$,Breweries,124-126 Ossington Avenue,(416) 535-4586,Ossington Strip,4.0,2,American,Ossington Avenue,,Ossington Strip,Ossington Strip
Ramen Isshin,4.5 star rating,41,$$,Ramen,609 Queen Street W,(647) 368-4013,Queen Street West,4.5,2,Asian,Queen Street W,,Queen Street West,Queen Street West
Darvish Restaurant,4 star rating,97,$$,Persian/Iranian,508 Yonge Street,(416) 929-8893,Downtown Core,4.0,2,Middle Eastern,Yonge Street,,Downtown Core,Downtown Core
Hendriks Restaurant & Bar,4 star rating,86,$$$,American (Traditional),218 Yonge Street,(416) 593-9667,Downtown Core,4.0,3,American,Yonge Street,,Downtown Core,Downtown Core
The Olde Yorke,4.5 star rating,261,$$,Seafood,96 Laird Drive,(416) 696-9670,,4.5,2,American,Laird Drive,,1,
Taverna Mercatto,3.5 star rating,191,$$,Italian,120 Bremner Boulevard,(416) 368-9000,,3.5,2,European,Bremner Boulevard,,1,
Makan,5 star rating,1,None,Asian Fusion,265 Queen Street W,(416) 593-1118,Queen Street West,5.0,0,Asian,Queen Street W,,Queen Street West,Queen Street West
Churrasqueira Martins,3.5 star rating,52,$$,Portuguese,605 Rogers Road,(416) 657-4343,,3.5,2,European,Rogers Road,Financial District,1,Financial District
George,4.5 star rating,258,$$$$,Canadian (New),111 Queen Street E,(416) 863-6006,Corktown,4.5,4,American,Queen Street E,,Corktown,Corktown
Kokyo Japanese Restaurant,4 star rating,47,$$,Japanese,572 Rogers Road,(416) 962-6968,,4.0,2,Asian,Rogers Road,Financial District,1,Financial District
BlueBlood Steakhouse,3.5 star rating,97,$$$$,Steakhouses,None,(416) 353-4647,Casa Loma,3.5,4,American,,,Casa Loma,Casa Loma
Farmhouse Tavern,3.5 star rating,243,$$,Canadian (New),1627 Dupont Street,(416) 561-9114,The Junction,3.5,2,American,Dupont Street,,The Junction,The Junction
Skippa,4 star rating,76,$$$$,Japanese,379 Harbord Street,(416) 535-8181,Bickford Park,4.0,4,Asian,Harbord Street,Entertainment District,Bickford Park,Bickford Park
Batch,3.5 star rating,155,$$,Gastropubs,75 Victoria Street,(416) 238-1484,Downtown Core,3.5,2,American,Victoria Street,,Downtown Core,Downtown Core
Rol San,3 star rating,739,$$,Dim Sum,323 Spadina Avenue,(416) 977-1128,Chinatown,3.0,2,Asian,Spadina Avenue,,Chinatown,Chinatown
Lahore Tikka House,3.5 star rating,497,$$,Halal,1365 Gerrard Street E,(416) 406-1668,Leslieville,3.5,2,Middle Eastern,Gerrard Street E,,Leslieville,Leslieville
The Ace,4 star rating,183,$$,Comfort Food,231A Roncesvalles Avenue,(416) 792-7729,Roncesvalles,4.0,2,Other,Roncesvalles Avenue,,Roncesvalles,Roncesvalles
Steam Whistle Biergarten,4 star rating,5,None,German,255 Bremner Boulevard,(416) 362-2337,Entertainment District,4.0,0,European,Bremner Boulevard,,Entertainment District,Entertainment District
Fieramosca,4.5 star rating,96,$$$,Italian,36A Prince Arthur Avenue,(416) 323-0636,The Annex,4.5,3,European,Prince Arthur Avenue,,The Annex,The Annex
The Greek Grill,4 star rating,71,$$,Greek,128 O'Connor Drive,(416) 461-5200,East York,4.0,2,European,O'Connor Drive,,East York,East York
Hacienda las Américas,4.5 star rating,60,$$,Mexican,424 College Street,(647) 347-2931,,4.5,2,Mexican,College Street,Downtown,1,Downtown
Rikkochez,4.5 star rating,55,$$,Mediterranean,341 Danforth Avenue,(416) 463-9000,Riverdale,4.5,2,Middle Eastern,Danforth Avenue,,Riverdale,Riverdale
Pizzeria Libretto Danforth,4 star rating,306,$$,Pizza,550 Danforth Avenue,(416) 466-0400,Greektown,4.0,2,American,Danforth Avenue,,Greektown,Greektown
Bukhara Grill,4 star rating,61,$$,Indian,2241A Bloor Street W,(416) 551-5199,Swansea,4.0,2,Asian,Bloor Street W,,Swansea,Swansea
Woodlot Restaurant,4 star rating,264,$$$,Vegetarian,293 Palmerston Avenue,(647) 342-6307,Little Italy,4.0,3,Other,Palmerston Avenue,,Little Italy,Little Italy
